name,id,year,yeardem,dem,yearrev,region
Argentina,ARG,2010.0,0.0,1.0,0.0,LAC
Antigua and Barbuda,ATG,2010.0,0.0,1.0,0.0,LAC
Bahamas,BHS,2010.0,0.0,1.0,0.0,LAC
Belize,BLZ,2010.0,0.0,1.0,0.0,LAC
Bolivia,BOL,2010.0,0.0,1.0,0.0,LAC
Brazil,BRA,2010.0,0.0,1.0,0.0,LAC
Barbados,BRB,2010.0,0.0,1.0,0.0,LAC
Chile,CHL,2010.0,0.0,1.0,0.0,LAC
Colombia,COL,2010.0,0.0,1.0,0.0,LAC
Costa Rica,CRI,2010.0,0.0,1.0,0.0,LAC
Cuba,CUB,2010.0,0.0,0.0,0.0,LAC
Dominica,DMA,2010.0,0.0,1.0,0.0,LAC
Dominican Republic,DOM,2010.0,0.0,1.0,0.0,LAC
Ecuador,ECU,2010.0,0.0,1.0,0.0,LAC
Grenada,GRD,2010.0,0.0,1.0,0.0,LAC
Guatemala,GTM,2010.0,0.0,1.0,0.0,LAC
Guyana,GUY,2010.0,0.0,1.0,0.0,LAC
Honduras,HND,2010.0,0.0,1.0,0.0,LAC
Haiti,HTI,2010.0,0.0,0.0,1.0,LAC
Jamaica,JAM,2010.0,0.0,1.0,0.0,LAC
St. Kitts and Nevis,KNA,2010.0,0.0,1.0,0.0,LAC
St. Lucia,LCA,2010.0,0.0,1.0,0.0,LAC
Mexico,MEX,2010.0,0.0,1.0,0.0,LAC
Nicaragua,NIC,2010.0,0.0,1.0,0.0,LAC
Panama,PAN,2010.0,0.0,1.0,0.0,LAC
Peru,PER,2010.0,0.0,1.0,0.0,LAC
Paraguay,PRY,2010.0,0.0,1.0,0.0,LAC
El Salvador,SLV,2010.0,0.0,1.0,0.0,LAC
Suriname,SUR,2010.0,0.0,1.0,0.0,LAC
Trinidad and Tobago,TTO,2010.0,0.0,1.0,0.0,LAC
Uruguay,URY,2010.0,0.0,1.0,0.0,LAC
St. Vincent & Grens.,VCT,2010.0,0.0,1.0,0.0,LAC
"Venezuela, Rep. Bol.",VEN,2010.0,0.0,0.0,0.0,LAC
